fips,State,County,Urban,LILATracts_1And10,HUNVFlag,SNAP_Participants,MedianIncome,PovertyPercent,TotalPopulation
17097,Illinois,Lake County,0.9276315789473685,0.05263157894736842,0.10526315789473684,62752,89427,7.9,701473
17051,Illinois,Fayette County,0.2857142857142857,0.7142857142857143,0.14285714285714285,  ,46650,17.2,21565
17107,Illinois,Logan County,0.375,0.0,0.375,7680,57308,9.3,29003
17165,Illinois,Saline County,0.5555555555555556,0.3333333333333333,0.2222222222222222,9434,44090,21.1,23994
17127,Illinois,Massac County,0.5,0.25,0.25,3849,47481,16.7,14219
17017,Illinois,Cass County,0.4,0.0,0.0,2754,52373,14.8,12493
18069,Indiana,Huntington County,0.5555555555555556,0.1111111111111111,0.3333333333333333,2647,53632,10.9,36359
18181,Indiana,White County,0.125,0.0,0.0,1655,54576,9.2,24149
18075,Indiana,Jay County,0.42857142857142855,0.42857142857142855,0.2857142857142857,1521,47658,14.1,20840
18145,Indiana,Shelby County,0.5,0.1,0.1,3514,60404,11.3,44438
18153,Indiana,Sullivan County,0.2,0.4,0.4,2049,50245,12.0,20730
18157,Indiana,Tippecanoe County,0.8918918918918919,0.32432432432432434,0.32432432432432434,11874,53130,18.7,191553
18057,Indiana,Hamilton County,0.9230769230769231,0.0,0.1282051282051282,7435,98173,4.6,323117
18005,Indiana,Bartholomew County,0.7333333333333333,0.26666666666666666,0.2,5638,63431,13.4,82481
18049,Indiana,Fulton County,0.16666666666666666,0.0,0.16666666666666666,1534,52034,12.4,20096
18113,Indiana,Noble County,0.3,0.1,0.3,2823,56789,7.4,47506
18019,Indiana,Clark County,0.6923076923076923,0.11538461538461539,0.2692307692307692,8311,55630,10.1,116507
18063,Indiana,Hendricks County,0.7142857142857143,0.047619047619047616,0.09523809523809523,4963,81933,5.0,163799
18053,Indiana,Grant County,0.625,0.3125,0.3125,9311,44356,18.0,66452
18071,Indiana,Jackson County,0.7,0.1,0.1,3283,51250,14.6,44025
18119,Indiana,Owen County,0.0,0.0,0.0,1865,49543,15.4,20835
18183,Indiana,Whitley County,0.14285714285714285,0.0,0.14285714285714285,1329,61741,9.7,33730
18023,Indiana,Clinton County,0.5,0.0,0.125,2705,54286,12.5,32273
18161,Indiana,Union County,0.0,0.0,0.0,541,50375,7.4,7113
18029,Indiana,Dearborn County,0.5,0.2,0.2,3046,68658,9.1,49479
18093,Indiana,Lawrence County,0.5,0.2,0.2,3731,53610,12.4,45548
18123,Indiana,Perry County,0.4,0.0,0.0,1581,52348,11.9,19102
18129,Indiana,Posey County,0.42857142857142855,0.14285714285714285,0.0,1738,64196,8.9,25560
18015,Indiana,Carroll County,0.14285714285714285,0.0,0.0,1064,54806,9.6,20074
18045,Indiana,Fountain County,0.2,0.0,0.0,1271,52874,11.1,16430
18149,Indiana,Starke County,0.14285714285714285,0.0,0.0,2932,51190,14.8,22952
18055,Indiana,Greene County,0.3333333333333333,0.1111111111111111,0.0,3041,51613,14.3,32159
19011,Iowa,Benton County,0.14285714285714285,0.0,0.0,1776,67729,8.8,25636
19061,Iowa,Dubuque County,0.7692307692307693,0.15384615384615385,0.19230769230769232,9160,63031,11.4,96982
19151,Iowa,Pocahontas County,0.0,0.0,0.0,650,52448,10.7,6797
19177,Iowa,Van Buren County,0.0,0.5,0.5,713,48591,12.8,7150
19003,Iowa,Adams County,0.0,0.0,0.0,365,49255,14.1,3670
19009,Iowa,Audubon County,0.0,0.0,0.0,477,52055,11.7,5571
19051,Iowa,Davis County,0.0,0.0,0.5,567,63404,9.9,8920
19093,Iowa,Ida County,0.0,0.0,0.0,534,58427,9.6,6901
19135,Iowa,Monroe County,0.0,0.0,0.0,761,58269,10.5,7807
19167,Iowa,Sioux County,0.2857142857142857,0.0,0.0,1216,69844,6.3,34827
19025,Iowa,Calhoun County,0.0,0.0,0.0,793,52323,12.6,9744
19033,Iowa,Cerro Gordo County,0.6363636363636364,0.18181818181818182,0.18181818181818182,4715,53963,10.1,42834
19083,Iowa,Hardin County,0.3333333333333333,0.0,0.0,1522,54196,9.6,17061
19117,Iowa,Lucas County,0.5,0.25,0.25,1043,55205,11.8,8583
19147,Iowa,Palo Alto County,0.25,0.0,0.0,749,52932,6.4,9003
19087,Iowa,Henry County,0.4,0.2,0.0,2272,53501,10.7,19941
19099,Iowa,Jasper County,0.4444444444444444,0.1111111111111111,0.0,3935,58952,9.0,36971
19157,Iowa,Poweshiek County,0.4,0.0,0.0,1267,53852,9.9,18388
19043,Iowa,Clayton County,0.0,0.0,0.0,1037,53152,11.5,17625
19017,Iowa,Bremer County,0.25,0.0,0.0,1146,70395,7.4,24864
19063,Iowa,Emmet County,0.5,0.25,0.0,971,51563,12.4,9438
